durante_C_sf_1,durante_C_sf_2,durante_C_sf_3,durante_C_sf_4,durante_C_sf_5,durante_C_sf_6,durante_C_sf_7,durante_C_sf_8,durante_C_sf_9,durante_C_sf_10,durante_C_sf_11,durante_C_sf_12,durante_C_sf_13,durante_C_sf_14,durante_C_sf_15,durante_C_sf_16,durante_C_sf_17,durante_C_sf_18,durante_C_sf_19,Sujeto,Clase
0.4,0.46667,0.67273,0.77778,0.8,0.38095,0.33333,0.66667,0.64444,0.91111,0.78182,0.5,0,0.61818,0.78182,0.63636,0.33333,0.5,0.94444,M11BADE,M
NaN,0.5,0.71429,0.61905,0.66667,NaN,1,0.8,1,0.47273,0.66667,NaN,1,0.57143,0.66667,0.66667,NaN,0,NaN,M12SAES,M
NaN,NaN,0.5,1,NaN,NaN,NaN,NaN,0,0,1,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN,M13FECA,M
0.39286,0.42857,0.42857,0.5,0.38095,0.6,0.5,0.39286,0.47619,0.42857,0.35556,0.5,0.4,0.4,0.5,NaN,1,NaN,0.66667,M16ARVE,M
0.71429,0.58333,0.53333,0.42222,0.4,0.52381,NaN,0.33333,0.64286,0.41818,1,0.66667,0.57143,0.26667,0.5,0.5,0.5,0.33333,0.66667,M17GOSE,M
0,0.55556,0.71429,0.5,0.9,0.33333,NaN,NaN,0.61905,0.7619,0.57778,NaN,0.66667,0.8,0.66667,0.60714,0.33333,NaN,NaN,M18HUME,M
1,0.43939,0.75,0.58182,0.73333,0.69444,0,0.66667,0.51111,0.6,0.59091,0,0.7,0.56364,0.55556,0.66667,0.33333,0.66667,0.83333,M19NAMO,M
NaN,NaN,0.33333,0.16667,NaN,NaN,NaN,0,0,0.38095,0.32143,NaN,1,0.6,0.53333,NaN,NaN,NaN,1,M21SANA,M
0.42857,0.48889,0.71429,0.57143,0.55556,1,1,0.63889,0.47273,0.52564,1,0.66667,0.57778,0.57778,0.54545,0.73333,0.60714,1,0.71429,M22HUGU,M
0,0.73333,0.47273,0.61111,0.51111,NaN,1,0.57143,0.66667,0.56061,0.66667,0,0.5,0.58333,0.55556,0.71429,0.83333,0.5,0.71429,M23SACA,M
NaN,0.73333,0.52564,0.66667,0.67857,0.8,0.45455,0.85714,0.61111,0.60714,0.57778,0.33333,0.61905,0.4697,0.67857,0.66667,0.38182,0.52381,0.5,M24SAME,M
0.33333,NaN,0.32143,0.46667,1,0.16667,NaN,NaN,0.32143,0.7,0.38095,0.5,0.33333,0.66667,1,0.5,0.3,NaN,0.5,M25MAVI,M
0,0.71429,0.53333,0.63889,0.71429,0,1,0.6,0.57778,0.61818,0.66667,0.73333,0.57143,0.61905,0.55556,0.37778,0.42857,NaN,0.66667,M27MUAG,M
NaN,NaN,0.61905,0.55556,0.80952,NaN,NaN,0.86667,1,0.5,0.62222,0,0.52381,0.61905,0.48889,0.7619,NaN,0,1,M28NUCO,M
NaN,0.9,0.6,0.66667,0.7,0.57143,NaN,0.7,0.46667,0.60714,0.44444,1,0.5,0.66667,0.45455,0.5,0,NaN,0.83333,M3ESDIR,M
0.61111,0.69091,0.61905,1,0.60606,0.46667,0.6,0.67949,0.58974,0.72727,0.62121,0.83333,0.54545,0.74242,0.67949,0.73333,0.53333,0.80556,0.74545,M7FLSAA,M
0.46429,0.35714,0.46429,0.68889,0.68889,0.66667,0.33333,0.53333,0.6,0.77778,0.55556,0.3,0.44444,0.77778,0.71111,0.5,0.26667,0.33333,0.8,M8AVGUK,M
NaN,0.6,0.6,0.61905,0.57143,1,NaN,1,0.38889,0.57143,0.53571,NaN,0.66667,0.39286,0.57143,0.83333,NaN,1,0.6,M9SAAND,M
