durante_C_beta_1,durante_C_beta_2,durante_C_beta_3,durante_C_beta_4,durante_C_beta_5,durante_C_beta_6,durante_C_beta_7,durante_C_beta_8,durante_C_beta_9,durante_C_beta_10,durante_C_beta_11,durante_C_beta_12,durante_C_beta_13,durante_C_beta_14,durante_C_beta_15,durante_C_beta_16,durante_C_beta_17,durante_C_beta_18,durante_C_beta_19,Sujeto,Clase
1,NaN,0.66667,0.5,0.5,0.66667,NaN,0,0.47619,0.66667,0.41667,0.66667,NaN,0.32143,0.8,0.61905,0.5,NaN,0.73333,B23VEZE,M
NaN,0,1,0.89286,0,NaN,NaN,0.75,0.35714,0.85714,0.89286,NaN,0,0.80556,0.80556,0.64444,0,0.33333,0.66667,B24CECU,H
0.5,0.2,1,0.46667,0.5,0,0,0.66667,0.7,0.53333,0.47619,0.66667,0,0,0.19048,0,NaN,NaN,NaN,B5ARMON,M
0.33333,0.66667,0.57778,0.54545,0.66667,0.5,0.46667,1,0.8,0.5,0.72222,0,0.55556,0.68889,0.47273,0.58182,0.5,0.73333,0.80952,B6SOMOD,M
0.47619,0.67273,0.65455,0.69444,0.7619,0.69444,NaN,0.7619,0.63889,0.75556,0.45714,0.66667,0.68889,0.65455,0.62222,0.7619,0.86667,0.66667,0.57143,B8RAMOM,H
NaN,NaN,0.66667,0.53333,0.80952,NaN,0,0.71429,0.33333,0.48889,0.71429,0,0.33333,0.71429,0.8,NaN,0,0.33333,0.5,M9BENIE,H
0.64286,0.51111,0.64286,0.61905,0.33333,0,NaN,0.61905,0.60714,0.47273,0.66667,0.61905,0.53571,0.66667,0.33333,0.33333,0.5,NaN,0.66667,M10CAUR,M
1,0.6,0.83333,0.8,0.47222,0,NaN,0.38095,0.52381,0.8,0.38182,0.4,0.35714,0.7,0.5,1,1,1,0.83333,M11BADE,M
0,NaN,0.57143,0.80952,NaN,NaN,NaN,0.93333,0.2,0.5,0.80952,0,NaN,NaN,0.80952,0.73333,NaN,NaN,1,M13FECA,M
0.5,0.8,0.66667,0.6,0,0.5,0.33333,0,0.55556,0.47273,0.58333,0.73333,0.71429,0.66667,0.5,NaN,0.83333,1,0.33333,M16ARVE,M
0.775,0.9011,0.89011,0.83516,0.86667,0.84615,NaN,0.85714,0.82857,0.84762,0.87179,0.93333,0.81667,0.84762,0.75735,0.81667,0.74242,0.88889,0.92727,M17GOSE,M
0.83333,0.87179,0.90909,0.92424,0.70476,0.67619,0.93333,0.81818,0.89286,0.82051,0.80769,0.83333,0.87273,0.72381,0.84615,0.61667,0.62121,1,1,M18HUME,M
0,0,0,0.64444,0.7619,0.33333,0,NaN,0.47619,0.53571,0.64444,1,0.78571,0.54545,0.55556,0.80952,1,0.71429,0.6,M19NAMO,H
NaN,NaN,0.83333,0.66667,0.53571,0.83333,0.83333,1,1,0.60714,0.52778,0,0.53333,0.39286,0.55556,NaN,1,NaN,0.8,M21SANA,M
0.93382,0.98901,0.93382,0.93382,0.9619,0.95,0.97802,0.93382,0.93382,0.93382,NaN,0.93382,0.9619,0.93382,0.95,0.98901,0.93382,0.93382,0.97802,M22HUGU,M
0.61905,0.80952,0.71111,0.71429,0.7,NaN,NaN,0.71429,0.62121,0.62121,0.63636,NaN,0.60606,0.62121,0.75,0.7619,0.7619,0.7619,0.66667,M23SACA,M
1,NaN,0.53333,0.60714,0.83333,0.6,NaN,1,0.5,0.55556,0.52778,0.73333,0.73333,0.60714,0.4,0.66667,0.57143,NaN,NaN,M25MAVI,M
NaN,NaN,0.6,0.46667,0.6,NaN,NaN,1,0.9,0.66667,0.7,NaN,0.9,0.9,0.33333,0.8,NaN,NaN,1,M28NUCO,M
0.85714,0.77273,0.71795,0.90476,1,0.83636,NaN,0.6,0.77273,0.70513,0.64835,1,0.77273,0.73077,0.72222,0.86667,0.8,0.63889,0.66667,M3ESDIR,H
0.80952,0.72222,0.49451,1,0.90476,0.9,0.5303,0.82143,0.6,0.61818,0.64444,0.8,0.64444,0.71429,0.6,0.90476,0.6,0.61905,0.55556,M7FLSAA,H
0.71429,0.78571,0.68889,0.60714,0.47273,0.2,0.66667,0.4,0.70909,0.57143,0.63636,0.72222,0.66667,0.83333,0.62821,0.51111,0.33333,0.66667,0.86667,M8AVGUK,H
1,0.7619,0.75556,0.80556,0.67273,0.3,0.33333,1,0.56364,0.5303,0.75556,NaN,1,0.75,0.62222,0.66667,NaN,0.83333,0.57143,M9SAAND,H
